Entity,Population,latitude,longitude
Afghanistan,38913707,33.93911,67.709953
Albania,2944804,41.153332,20.168331
Algeria,43969303,28.033886,1.659626
Andorra,77276,42.546245,1.601554
Angola,33894484,-11.202692,17.873887
Antigua and Barbuda,106125,17.060816,-61.796428
Argentina,45914426,-38.416097,-63.616672
Armenia,2939944,40.069099,45.038189
Australia,25700455,-25.274398,133.775136
Austria,8800683,47.516231,14.550072
Azerbaijan,10179146,40.143105,47.576927
Bahamas,410556,25.03428,-77.39628
Bahrain,1744295,25.930414,50.637772
Bangladesh,171499635,23.684994,90.356331
Barbados,288071,13.193887,-59.543198
Belarus,9397050,53.709807,27.953389
Belgium,11669155,50.503887,4.469936
Belize,405765,17.189877,-88.49765
Benin,12449613,9.30769,2.315834
Bhutan,844152,27.514162,90.433601
Bolivia,11707900,-16.290154,-63.588653
Bosnia and Herzegovina,3492068,43.915886,17.679076
Botswana,2456456,-22.328474,24.684866
Brazil,215277900,-14.235004,-51.92528
Brunei,449613,4.535277,114.727669
Bulgaria,6892210,42.733883,25.48583
Burkina Faso,21496961,12.238333,-1.561593
Burundi,12305457,-3.373056,29.918886
Cambodia,16943711,12.565679,104.990963
Cameroon,26613765,7.369722,12.354722
Canada,37924162,56.130366,-106.346771
Cape Verde,574312,16.002082,-24.013197
Central African Republic,5022853,6.611111,20.939444
Chad,16765714,15.454166,18.732207
Chile,18604946,-35.675147,-71.542969
China,1428480534,35.86166,104.195397
Colombia,50576195,4.570868,-74.297333
Comoros,888407,-11.875001,43.872219
Costa Rica,5087543,9.748917,-83.753428
Croatia,4092378,45.1,15.2
Cuba,11499731,21.521757,-77.781167
Cyprus,1215850,35.126413,33.429859
Czech Republic,10633850,49.817492,15.472962
Denmark,5819262,56.26392,9.501785
Djibouti,1014025,11.825138,42.590275
Dominica,75401,15.414999,-61.370976
Dominican Republic,11217656,18.735693,-70.162651
Ecuador,17568798,-1.831239,-78.183406
Egypt,104692187,26.820553,30.802498
El Salvador,6512324,13.794185,-88.89653
Equatorial Guinea,1452350,1.650801,10.267895
Eritrea,5555141,15.179384,39.782334
Estonia,1297038,58.595272,25.013607
Ethiopia,115403326,9.145,40.489673
Fiji,930655,-16.578193,179.414413
Finland,5598770,61.92411,25.748151
France,65954741,46.227638,2.213749
Gabon,2194488,-0.803689,11.609444
Gambia,2359954,13.443182,-15.310139
Georgia,3888720,42.315407,43.356892
Germany,82590869,51.165691,10.451526
Ghana,31374052,7.946527,-1.023194
Greece,11075319,39.074208,21.824312
Grenada,109761,12.262776,-61.604171
Guatemala,18243996,15.783471,-90.230759
Guinea,14109660,9.945587,-9.696645
Guinea-Bissau,2048139,11.803749,-15.180413
Guyana,795022,4.860416,-58.93018
Haiti,11497951,18.971187,-72.285215
Honduras,9868818,15.199999,-86.241905
Hong Kong,7598189,22.396428,114.109497
Hungary,9586483,47.162494,19.503304
Iceland,345764,64.963051,-19.020835
India,1397423009,20.593684,78.96288
Indonesia,274854187,-0.789275,113.921327
Iran,84308039,32.427908,53.688046
Iraq,42612210,33.223191,43.679291
Ireland,4925839,53.41291,-8.24389
Israel,8841736,31.046051,34.851612
Italy,59037893,41.87194,12.56738
Jamaica,2919128,18.109581,-77.297508
Japan,126109475,36.204824,138.252924
Jordan,10320354,30.585164,36.238414
Kazakhstan,18956868,48.019573,66.923684
Kenya,54780852,-0.023559,37.906193
Kiribati,124433,-3.370417,-168.734039
Kuwait,4361470,29.31166,47.481766
Kyrgyzstan,6381898,41.20438,74.766098
Laos,7262301,19.85627,102.495496
Latvia,1875529,56.879635,24.603189
Lebanon,5957294,33.854721,35.862285
Lesotho,2351503,-29.609988,28.233608
Liberia,5232082,6.428055,-9.429499
Libya,6745673,26.3351,17.228331
Liechtenstein,38888,47.166,9.555373
Lithuania,2839999,55.169438,23.881275
Luxembourg,611338,49.815273,6.129583
Madagascar,28426106,-18.766947,46.869107
Malawi,20859191,-13.254308,34.301525
Malaysia,33289213,4.210484,101.975766
Maldives,465782,3.202778,73.22068
Mali,20892584,17.570692,-3.996166
Malta,435469,35.937496,14.375416
Marshall Islands,53289,7.131474,171.184478
Mauritania,4907911,21.00789,-10.940835
Mauritius,1276475,-20.348404,57.552152
Mexico,135384210,23.634501,-102.552784
Micronesia,108609,7.425554,150.550812
Moldova,4004831,47.411631,28.369885
Monaco,39495,43.750298,7.412841
Mongolia,3251146,46.862496,103.846656
Montenegro,629333,42.708678,19.37439
Morocco,37497502,31.791702,-7.09262
Mozambique,33229664,-18.665695,35.529562
Namibia,2751250,-22.95764,18.49041
Nauru,11222,-0.522778,166.931503
Nepal,30578436,28.394857,84.124008
Netherlands,17229539,52.132633,5.291266
New Zealand,4875597,-40.900557,174.885971
Nicaragua,6480807,12.865416,-85.207229
Niger,25006169,17.607789,8.081666
Nigeria,211446673,9.081999,8.675277
North Korea,25950762,40.339852,127.510093
Norway,5500070,60.472024,8.468946
Oman,5270227,21.512583,55.923255
Pakistan,212106995,30.375321,69.345116
Palau,22682,7.51498,134.58252
Panama,4351945,8.537981,-80.782127
Papua New Guinea,8925773,-6.314993,143.95555
Paraguay,7149851,-23.442503,-58.443832
Peru,33686305,-9.189967,-75.015152
Philippines,111302796,12.879721,121.774017
Poland,37846622,51.919438,19.145136
Portugal,10182639,39.399872,-8.224454
Qatar,2840398,25.354826,51.183884
Romania,19295077,45.943161,24.96676
Russia,143636809,61.52401,105.318756
Rwanda,13378967,-1.940278,29.873888
Saint Kitts and Nevis,57269,17.357822,-62.782998
Saint Lucia,181909,13.909444,-60.978893
Saint Vincent and the Grenadines,110986,12.984305,-61.287228
Samoa,201318,-13.759029,-172.104629
San Marino,33924,43.94236,12.457777
Saudi Arabia,35262692,23.885942,45.079162
Senegal,17662986,14.497401,-14.452362
Serbia,8673359,44.016521,21.005859
Seychelles,96464,-4.679574,55.491977
Sierra Leone,8211069,8.460555,-11.779889
Singapore,5991801,1.352083,103.819836
Slovakia,5451033,48.669026,19.699024
Slovenia,2081765,46.151241,14.995463
Solomon Islands,659413,-9.64571,160.156194
Somalia,16589196,5.152149,46.199616
South Africa,59365976,-30.559482,22.937506
South Korea,51666655,35.907757,127.766922
Spain,46449574,40.463667,-3.74922
Sri Lanka,21145999,7.873054,80.771797
Sudan,44592440,12.862807,30.217636
Suriname,582296,3.919305,-56.027783
Swaziland,1462954,-26.522503,31.465866
Sweden,10188119,60.128161,18.643501
Switzerland,8731111,46.818188,8.227512
Syria,19586107,34.802075,38.996815
Taiwan,23872680,23.69781,120.960515
Tajikistan,9656648,38.861034,71.276093
Tanzania,64673854,-6.369028,34.888822
Thailand,69498124,15.870032,100.992541
Togo,8584627,8.619543,0.824782
Tonga,111993,-21.178986,-175.198242
Trinidad and Tobago,1379418,10.691803,-61.222503
Tunisia,12018514,33.886917,9.537499
Turkey,84514623,38.963745,35.243322
Turkmenistan,6117011,38.969719,59.556278
Tuvalu,11609,-7.109535,177.64933
Uganda,48698086,1.373333,32.290275
Ukraine,43360970,48.379433,31.16558
United Arab Emirates,9937479,23.424076,53.847818
United Kingdom,67699483,55.378051,-3.435973
United States,333783196,37.09024,-95.712891
Uruguay,3506138,-32.522779,-55.765835
Uzbekistan,33648956,41.377491,64.585262
Vanuatu,299872,-15.376706,166.959158
Venezuela,33558483,6.42375,-66.58973
Vietnam,99284146,14.058324,108.277199
Yemen,30910815,15.552727,48.516388
Zambia,19234791,-13.133897,27.849332
Zimbabwe,18060453,-19.015438,29.154857
